ss,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,acct_num,trans_num,trans_date,trans_time,categoty,amt,customer_device,customer_payment_method,customer_card_number,customer_transaction_id,merch_name,merch_id,merch_url,merch_transaction_ip,mercj_lat,merch_long,isfraud
525534192,Mei,Brown,M,3833 Oak St,San Francisco,NY,20458,31.467801,-111.130395,3238729,Manager,1990-09-05,832764835030,bc01f315-fa69-4e13-b388-fa682cdbefae,2024-11-08,15:34:14,restaurant,86.22,mobile,credit_card,**** **** **** 4969,fe2a0c46-072e-4907-a1e6-133f5b6598c6,Starbucks,M57447,https://www.starbucks.com,57.36.131.127,44.246916,-89.859346,0
845146270,Akhil,Garcia,M,9863 Cedar Rd,Chicago,IL,79352,25.510893,-112.644964,7955683,Engineer,1960-04-11,482814893252,5f78a063-d4e3-47ac-8e1b-d07aeb189d44,2024-07-28,11:22:36,grocery,75.88,web,credit_card,**** **** **** 2278,e169dfd7-a5fb-44f3-acff-a8c4c8ee1858,Target,M44741,https://www.target.com,136.224.156.109,43.812461,-83.948706,0
393010310,Priya,Smith,F,8579 Cedar Rd,Boston,GA,25860,29.927835,-95.369139,226448,Designer,1999-09-11,518347382997,4d8fac1b-da82-482d-99bb-3872bdd1f8fa,2024-04-04,08:53:54,pharmacy,243.21,mobile,credit_card,**** **** **** 3338,e8994a7c-bf93-4ffe-8c0d-bd685efd305d,Shell,M28373,https://www.shell.com,109.47.72.119,43.413834,-82.151329,0
606474687,Luis,Sharma,M,3972 Main St,New York,CA,63269,39.701072,-122.688888,3414169,Engineer,1964-10-08,234309805009,e7976ada-f316-4c7f-bc2d-fef8edfb339c,2024-07-04,03:59:27,online_purchase,27.47,pos,credit_card,**** **** **** 9169,95d1878b-48c7-4cea-9e26-86236f708eab,Costco,M78522,https://www.costco.com,81.240.67.53,33.808127,-92.645174,0
842513542,Akhil,Smith,F,252 Cedar Rd,Boston,CA,91416,30.228055,-94.99631,664555,Clerk,1969-02-14,784980841241,6c03a700-e8d4-4186-a5bd-a2a49f6d5053,2024-12-11,12:43:24,gas,79.39,mobile,debit_card,**** **** **** 4005,cb7397ef-8bb8-4ab1-848d-eb0f450c9581,Target,M93507,https://www.target.com,251.68.42.190,43.498944,-84.082654,0
331586923,Jane,Sharma,M,9643 Main St,New York,MA,66333,39.557794,-122.651084,7591203,Engineer,1982-02-06,226025634216,c0b7f9be-eaa9-474b-9d57-dcc975f9fdc6,2024-12-04,17:11:01,grocery,104.45,mobile,credit_card,**** **** **** 5868,dcaccd56-dab2-4acb-8f36-54cd79d20e99,DoorDash,M13617,https://www.doordash.com,30.225.249.67,26.940295,-118.209646,0
883561595,Jane,Nguyen,F,7249 2nd St,Boston,MA,60488,30.188475,-95.318717,422341,Cashier,1950-02-25,148465648236,ca250653-cd2b-4822-9cff-59d3d7c28b8d,2024-09-15,05:35:29,utilities,280.61,mobile,wallet,**** **** **** 7773,0ded8ff8-d334-4bc7-b9ed-e659c0e7e18e,Delta,M72021,https://www.delta.com,204.231.246.204,37.474823,-68.437091,0
769367632,Mei,Brown,M,3780 Park Ave,Seattle,FL,29313,45.3299,-119.14655,4035732,Designer,1956-07-14,016328708317,4a11acf5-dac0-43d5-8c23-142c36907484,2024-02-21,18:48:37,pharmacy,201.94,pos,wallet,**** **** **** 4873,960258b5-ca7f-4290-8b13-86ba7add7869,Uber,M67654,https://www.uber.com,20.183.74.61,46.87893,-104.922285,0
669096705,Akhil,Kumar,M,3605 2nd St,Chicago,TX,64377,25.573367,-112.64921,3537767,Engineer,1968-07-22,466889373467,ee268ac7-0cc5-48b1-8fab-f6f9718f3145,2024-01-12,06:31:51,utilities,154.37,pos,debit_card,**** **** **** 2720,681cb45e-9096-4b63-ad93-b248673b998c,Uber,M59689,https://www.uber.com,84.55.117.84,46.918401,-104.586327,0
330923271,David,Smith,M,8937 1st Ave,Dallas,NY,55870,39.837031,-93.110889,5517314,Engineer,1952-10-13,937452991241,e6c21642-25df-41e8-bdb4-8d351288c2ef,2024-08-12,17:43:57,grocery,112.18,pos,wallet,**** **** **** 5865,1667078d-beeb-4d1d-bcf4-c14f33ff59b5,Walmart,M76317,https://www.walmart.com,166.88.4.218,43.568936,-123.63545,0
945314737,Sara,Singh,M,8648 Oak St,Chicago,TX,90728,25.733607,-112.650985,4105871,Consultant,1989-01-28,996507527354,089736c7-8e2a-4472-aeb1-c1f01fc7b180,2024-05-12,04:11:16,travel,3533.25,pos,debit_card,**** **** **** 7014,252f1f8f-8b86-4063-9ec2-be41ed74c20b,BestBuy,M63005,https://www.bestbuy.com,178.63.79.170,32.874695,-115.153713,1
233749894,David,Lee,F,4538 Oak St,Boston,GA,42951,29.920888,-95.106235,2697008,Analyst,1998-01-28,134352408240,867b8899-4d10-4664-b640-ad346406ec42,2024-01-22,04:13:09,travel,2819.93,mobile,wallet,**** **** **** 7116,a61dd43b-e11b-4bde-a9a3-4b5a797bd83d,Shell,M19710,https://www.shell.com,148.162.176.14,43.354986,-82.218603,1
499091334,Jane,Patel,M,9866 Park Ave,Chicago,PA,78494,25.562478,-112.502852,2544378,Designer,1988-06-21,123281206797,e2ad7b8f-e672-4d64-a7a3-e69a4ea55da7,2024-04-23,02:44:00,grocery,35.46,pos,debit_card,**** **** **** 2102,3f2aff19-f391-45b4-9d9a-955782903704,Uber,M87993,https://www.uber.com,192.212.146.236,46.889067,-105.039499,0
